"","A1","A143","A144","A145","A146","A147","A148","A149","A150","A151","A152","A153","A154","A155","A156","A157","A158","A159","A160","A161","A162","A163","A164","A165","A166","A167","A168","A169"
"17",110020,"Secretaria municipal em conjunto com outras políticas","Sim","2004","Sim","Sim","Não","Não","Não","Sim","Sim","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim"
"18",110025,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"19",110026,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Não","Sim","Não","Não","Sim","Sim","Não"
"20",110028,"Setor subordinado a outra secretaria","Sim","2011","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Sim","Não","Não","Não aplicável"
"21",110029,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"22",110030,"Secretaria municipal em conjunto com outras políticas","Sim","2005","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Não"
"23",110032,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Não","Não aplicável"
"24",110033,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"25",110034,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"26",110037,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"27",110040,"Setor subordinado à chefia do executivo","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Sim"
"28",110045,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim"
"29",110050,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"30",110060,"Setor subordinado à chefia do executivo","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"31",110070,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"32",110080,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"33",110090,"Secretaria municipal exclusiva","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"34",110092,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Sim","Não","Sim","Não"
"35",110094,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"36",110100,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"37",110110,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"38",110120,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"39",110130,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"40",110140,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"41",110143,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"42",110145,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"43",110146,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"44",110147,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"45",110148,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"46",110149,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"47",110150,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"48",110155,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"49",110160,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Não"
"50",110170,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"51",110175,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"52",110180,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"53",120001,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"54",120005,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"55",120010,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"56",120013,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Sim","Não"
"57",120017,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"58",120020,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Não"
"59",120025,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"60",120030,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Sim","Não","Sim","Não"
"61",120032,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"62",120033,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim"
"63",120034,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Sim","Não","Não","Não","Não","Sim","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"64",120035,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Não aplicável"
"65",120038,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Não"
"66",120039,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não aplicável"
"67",120040,"Órgão da administração indireta","Sim","1991","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim"
"68",120042,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Não","Não","Não","Não","Não","Sim","Sim"
"69",120043,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não aplicável"
"70",120045,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não","Sim","Sim","Não","Não","Não","Sim","Sim"
"71",120050,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"72",120060,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Não"
"73",120070,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"74",120080,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Não"
"75",130002,"Setor subordinado à chefia do executivo","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"76",130006,"Secretaria municipal exclusiva","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Não aplicável"
"77",130008,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Não aplicável"
"78",130010,"Secretaria municipal exclusiva","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Não aplicável"
"79",130014,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Não"
"80",130020,"Secretaria municipal exclusiva","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Não"
"81",130030,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não"
"82",130040,"Secretaria municipal exclusiva","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Não","Não aplicável"
"83",130050,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Sim","Sim","Não","Sim","Não","Não","Não","Sim","Sim","Sim"
"84",130060,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"85",130063,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Não aplicável"
"86",130068,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim"
"87",130070,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Não","Sim","Não","Não","Não","Sim","Não"
"88",130080,"Setor subordinado a outra secretaria","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não aplicável"
"89",130083,"Não possui estrutura","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Sim"
"90",130090,"Secretaria municipal em conjunto com outras políticas","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Não","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não aplicável","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Não aplicável"
