"Tabela 1 - Posição ocupada pelos 100 maiores municípios, em relação ao Produto Interno Bruto ","","","","","","","","","","","","","","","",""
"a preços correntes e participações percentual e acumulada, segundo os municípios ","","","","","","","","","","","","","","","",""
"e as respectivas Unidades da Federação - 2018","","","","","","","","","","","","","","","",""
"","","","","(continua)","","","","","","","","","","","",""
"Maringá (PR)","50º","0 000 018 532 976","0.26","45.09","","","","","","","","","","","",""
"Tabela 1 - Posição ocupada pelos 100 maiores municípios, em relação ao Produto Interno Bruto ","","","","","","","","","","","","","","","",""
"a preços correntes e participações percentual e acumulada, segundo os municípios ","","","","","","","","","","","","","","","",""
"e as respectivas Unidades da Federação - 2018","","","","","","","","","","","","","","","",""
"","","","","(conclusão)","","","","","","","","","","","",""
"Municípios e respectivas
Unidades da Federação","Posição ocu-
pada pelos
100 maiores
municípios","Produto Interno Bruto
a preços correntes
(1 000 R$)","Participação (%)","Participação
acumulada (%)","","","","","","","","","","","",""
"São Gonçalo (RJ)","51º","0 000 018 501 295","0.26","45.35","","","","","","","","","","","",""
"São José do Rio Preto (SP)","52º","0 000 017 542 485","0.25","45.60","","","","","","","","","","","",""
"Aracaju (SE)","53º","0 000 017 276 300","0.25","45.85","","","","","","","","","","","",""
"Taubaté (SP)","54º","0 000 017 267 226","0.25","46.10","","","","","","","","","","","",""
"Cajamar (SP)","55º","0 000 016 970 110","0.24","46.34","","","","","","","","","","","",""
"Blumenau (SC)","56º","0 000 016 958 783","0.24","46.58","","","","","","","","","","","",""
"Juiz de Fora (MG)","57º","0 000 016 923 043","0.24","46.82","","","","","","","","","","","",""
"Nova Iguaçu (RJ)","58º","0 000 016 818 602","0.24","47.06","","","","","","","","","","","",""
"Porto Velho (RO)","59º","0 000 016 647 157","0.24","47.30","","","","","","","","","","","",""
"Araucária (PR)","60º","0 000 016 410 202","0.23","47.54","","","","","","","","","","","",""
"Parauapebas (PA)","61º","0 000 015 995 450","0.23","47.76","","","","","","","","","","","",""
"Indaiatuba (SP)","62º","0 000 015 596 305","0.22","47.99","","","","","","","","","","","",""
"Macaé (RJ)","63º","0 000 015 405 621","0.22","48.21","","","","","","","","","","","",""
"Mogi das Cruzes (SP)","64º","0 000 015 386 499","0.22","48.43","","","","","","","","","","","",""
"Mauá (SP)","65º","0 000 015 287 482","0.22","48.64","","","","","","","","","","","",""
"Ponta Grossa (PR)","66º","0 000 015 054 022","0.21","48.86","","","","","","","","","","","",""
"Uberaba (MG)","67º","0 000 014 708 608","0.21","49.07","","","","","","","","","","","",""
"Feira de Santana (BA)","68º","0 000 014 683 079","0.21","49.28","","","","","","","","","","","",""
"Foz do Iguaçu (PR)","69º","0 000 014 675 965","0.21","49.49","","","","","","","","","","","",""
"Diadema (SP)","70º","0 000 014 671 971","0.21","49.70","","","","","","","","","","","",""
"Bauru (SP)","71º","0 000 014 642 060","0.21","49.91","","","","","","","","","","","",""
"Sumaré (SP)","72º","0 000 014 438 898","0.21","50.11","","","","","","","","","","","",""
"Ilhabela (SP)","73º","0 000 014 401 224","0.21","50.32","","","","","","","","","","","",""
"Anápolis (GO)","74º","0 000 014 238 732","0.20","50.52","","","","","","","","","","","",""
"Volta Redonda (RJ)","75º","0 000 013 764 889","0.20","50.72","","","","","","","","","","","",""
"São Caetano do Sul (SP)","76º","0 000 013 440 728","0.19","50.91","","","","","","","","","","","",""
"Jaboatão dos Guararapes (PE)","77º","0 000 013 359 675","0.19","51.10","","","","","","","","","","","",""
"Aparecida de Goiânia (GO)","78º","0 000 013 265 874","0.19","51.29","","","","","","","","","","","",""
"Embu das Artes (SP)","79º","0 000 013 248 193","0.19","51.48","","","","","","","","","","","",""
"Limeira (SP)","80º","0 000 013 192 024","0.19","51.67","","","","","","","","","","","",""
"Cubatão (SP)","81º","0 000 013 183 238","0.19","51.86","","","","","","","","","","","",""
"Hortolândia (SP)","82º","0 000 013 116 393","0.19","52.04","","","","","","","","","","","",""
"Jacareí (SP)","83º","0 000 012 705 392","0.18","52.23","","","","","","","","","","","",""
"Petrópolis (RJ)","84º","0 000 012 672 637","0.18","52.41","","","","","","","","","","","",""
"Cotia (SP)","85º","0 000 012 534 568","0.18","52.58","","","","","","","","","","","",""
"Cascavel (PR)","86º","0 000 012 243 459","0.17","52.76","","","","","","","","","","","",""
"Itapevi (SP)","87º","0 000 012 172 060","0.17","52.93","","","","","","","","","","","",""
"Vila Velha (ES)","88º","0 000 012 124 129","0.17","53.11","","","","","","","","","","","",""
"Gravataí (RS)","89º","0 000 011 964 051","0.17","53.28","","","","","","","","","","","",""
"Ipojuca (PE)","90º","0 000 011 570 549","0.17","53.44","","","","","","","","","","","",""
"Três Lagoas (MS)","91º","0 000 011 545 054","0.16","53.61","","","","","","","","","","","",""
"Jaguariúna (SP)","92º","0 000 011 529 843","0.16","53.77","","","","","","","","","","","",""
"Ipatinga (MG)","93º","0 000 011 435 803","0.16","53.94","","","","","","","","","","","",""
"Americana (SP)","94º","0 000 011 332 408","0.16","54.10","","","","","","","","","","","",""
"Rondonópolis (MT)","95º","0 000 011 223 535","0.16","54.26","","","","","","","","","","","",""
"São Carlos (SP)","96º","0 000 011 173 000","0.16","54.42","","","","","","","","","","","",""
"Suzano (SP)","97º","0 000 011 147 866","0.16","54.58","","","","","","","","","","","",""
"Cabo Frio (RJ)","98º","0 000 010 970 087","0.16","54.73","","","","","","","","","","","",""
"Louveira (SP)","99º","0 000 010 963 451","0.16","54.89","","","","","","","","","","","",""
"Macapá (AP)","100º","0 000 010 949 648","0.16","55.05","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.","","","","","","","","","","","","","","","",""
"Nota: Dados sujeitos a revisão.","","","","","","","","","","","","","","","",""
